Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
Russell Westbrook,Jeff Teague,Lance Stephenson,Jonas Valanciunas,Tim Frazier,Monta Ellis,J.R. Smith,Draymond Green,287.808,289.5,41,Oct282016,3,8
Russell Westbrook,Justin Hamilton,Kentavious Caldwell-Pope,Sean Kilpatrick,Thaddeus Young,J.J. Barea,Draymond Green,LeBron James,284.668,289.5,39,Oct282016,5,8
Jeff Teague,Tyson Chandler,Tim Frazier,Andre Roberson,Tyler Johnson,Kevin Love,Kevin Durant,LeBron James,286.278,288.75,14,Oct282016,4,8
Tim Frazier,Monta Ellis,James Harden,J.J. Barea,Draymond Green,Myles Turner,Marcus Morris,T.J. Warren,289.278,288.25,28,Oct282016,3,8
Nikola Vucevic,Elfrid Payton,George Hill,Monta Ellis,Ish Smith,Thaddeus Young,Anthony Davis,Michael Kidd-Gilchrist,284.418,287.5,16,Oct282016,6,8
Tyson Chandler,Elfrid Payton,Deron Williams,Tim Frazier,Sean Kilpatrick,Wesley Matthews,Anthony Davis,LeBron James,285.808,287.25,32,Oct282016,4,8
Russell Westbrook,Tyson Chandler,Tim Frazier,Monta Ellis,Dion Waiters,Tyler Johnson,LeBron James,Justise Winslow,284.598,287.0,44,Oct282016,5,8
Russell Westbrook,Elfrid Payton,Alex Len,Justin Hamilton,Eric Gordon,Tyler Johnson,Kevin Durant,Michael Kidd-Gilchrist,284.998,286.75,18,Oct282016,5,8
Nikola Vucevic,Elfrid Payton,Monta Ellis,Sean Kilpatrick,Bojan Bogdanovic,Anthony Davis,LeBron James,T.J. Warren,285.538,286.75,43,Oct282016,4,8
Russell Westbrook,Alex Len,Tim Frazier,Eric Gordon,Joe Harris,J.J. Barea,Draymond Green,Paul George,284.698,286.25,36,Oct282016,5,8
Jeff Teague,Justin Hamilton,George Hill,Dion Waiters,James Harden,Kevin Durant,Michael Kidd-Gilchrist,T.J. Warren,284.528,286.0,5,Oct282016,6,8
Russell Westbrook,Justin Hamilton,Tim Frazier,Evan Fournier,Devin Booker,J.J. Barea,Draymond Green,Justise Winslow,285.498,286.0,46,Oct282016,4,8
Elfrid Payton,George Hill,Tim Frazier,Luke Babbitt,Devin Booker,Anthony Davis,Draymond Green,Michael Kidd-Gilchrist,286.318,286.0,13,Oct282016,4,8
Lance Stephenson,Elfrid Payton,Justin Hamilton,Dion Waiters,Joe Harris,James Harden,Kevin Durant,LeBron James,286.168,284.0,18,Oct282016,4,8
Stephen Curry,Deron Williams,Dion Waiters,Sean Kilpatrick,J.J. Barea,Anthony Davis,Kevin Love,Michael Kidd-Gilchrist,284.278,283.5,33,Oct282016,6,8
Lance Stephenson,Deron Williams,Monta Ellis,Marvin Williams,James Harden,J.J. Barea,Anthony Davis,Justise Winslow,284.238,282.5,39,Oct282016,6,8
Russell Westbrook,Roy Hibbert,Deron Williams,Joe Harris,Marvin Williams,J.J. Barea,Myles Turner,Kevin Durant,285.938,282.25,24,Oct282016,4,8
Elfrid Payton,George Hill,Monta Ellis,J.J. Barea,Anthony Davis,Draymond Green,Aaron Gordon,Justise Winslow,286.548,281.5,8,Oct282016,4,8
Jeff Teague,Jonas Valanciunas,George Hill,Tim Frazier,Dion Waiters,Myles Turner,Kevin Durant,Michael Kidd-Gilchrist,284.748,280.75,32,Oct282016,5,8
