Name,Team,Position,Dropped,Added,Total,Date
Lou Williams,LAL ," PG,SG",239,3369,3613,2016-11-03
Andre Roberson,OKC ," SG,SF",3086,464,3551,2016-11-03
Matthew Dellavedova,MIL ," PG,SG",1001,2355,3377,2016-11-03
J.J. Barea,DAL ," PG,SG",979,2208,3193,2016-11-03
C.J. Miles,IND ," SG,SF",721,2449,3173,2016-11-03
Marcus Morris,DET ," SF,PF",127,2943,3080,2016-11-03
Jrue Holiday,NO , PG,373,2697,3072,2016-11-03
Brandon Ingram,LAL ," SG,SF",2864,150,3030,2016-11-03
Rondae Hollis-Jefferson,BKN ," SG,SF",2699,276,2979,2016-11-03
Marcus Smart,BOS , PG,533,2238,2775,2016-11-03
Timofey Mozgov,LAL , C,2605,84,2693,2016-11-03
Jerami Grant,OKC ," SF,PF",2322,364,2691,2016-11-03
T.J. Warren,PHO , SF,78,2530,2624,2016-11-03
Jeremy Lin,BKN ," PG,SG",2452,72,2551,2016-11-03
Ricky Rubio,MIN , PG,2144,268,2438,2016-11-03
Joe Johnson,UTA ," SG,SF",1025,1371,2407,2016-11-03
Ty Lawson,SAC , PG,1911,487,2406,2016-11-03
Mike Muscala,ATL ," PF,C",1672,678,2354,2016-11-03
Roy Hibbert,CHA , C,2112,174,2292,2016-11-03
Joakim Noah,NY ," PF,C",1969,233,2211,2016-11-03
Tim Hardaway Jr.,ATL ," SG,SF",196,2001,2200,2016-11-03
Kris Dunn,MIN , PG,475,1709,2198,2016-11-03
Patty Mills,SA , PG,923,1198,2126,2016-11-03
Cody Zeller,CHA ," PF,C",906,1189,2101,2016-11-03
Michael Kidd-Gilchrist,CHA , SF,881,1153,2051,2016-11-03
Larry Nance Jr.,LAL , PF,147,1901,2049,2016-11-03
Robert Covington,PHI ," SF,PF",1887,148,2048,2016-11-03
Thabo Sefolosha,ATL ," SG,SF",963,1061,2026,2016-11-03
Jonathon Simmons,SA ," SG,SF",1807,148,1959,2016-11-03
Sergio Rodriguez,PHI , PG,506,1402,1924,2016-11-03
Justin Hamilton,BKN ," PF,C",1728,175,1906,2016-11-03
JaMychal Green,MEM , PF,277,1565,1851,2016-11-03
Mirza Teletovic,MIL ," SF,PF",1669,167,1844,2016-11-03
Tony Parker,SA , PG,1652,166,1827,2016-11-03
Frank Kaminsky,CHA ," PF,C",200,1592,1792,2016-11-03
Dion Waiters,MIA ," SG,SF",272,1503,1780,2016-11-03
Clint Capela,HOU ," PF,C",1628,105,1752,2016-11-03
Kentavious Caldwell-Pope,DET , SG,175,1524,1713,2016-11-03
Jae Crowder,BOS ," SF,PF",1621,61,1709,2016-11-03
Jamal Crawford,LAC ," SG,SF",1197,478,1686,2016-11-03
Jaylen Brown,BOS , SF,378,13921,14299,2016-11-04
Terrence Jones,NO ," SF,PF",558,7298,7860,2016-11-04
Sean Kilpatrick,BKN ," PG,SG",689,5634,6327,2016-11-04
C.J. Miles,IND ," SG,SF",388,5433,5822,2016-11-04
Malcolm Brogdon,MIL ," PG,SG",141,5647,5788,2016-11-04
Tyson Chandler,PHO , C,297,3977,4284,2016-11-04
Will Barton,DEN ," SG,SF",3115,433,3561,2016-11-04
Tyler Johnson,MIA ," PG,SG",359,3102,3467,2016-11-04
Matt Barnes,SAC ," SG,SF",3089,270,3362,2016-11-04
Andre Roberson,OKC ," SG,SF",2862,75,2942,2016-11-04
Lou Williams,LAL ," PG,SG",387,2413,2810,2016-11-04
Rondae Hollis-Jefferson,BKN ," SG,SF",1282,1484,2773,2016-11-04
Patty Mills,SA , PG,452,2270,2729,2016-11-04
Jerami Grant,OKC ," SF,PF",2575,98,2676,2016-11-04
J.J. Barea,DAL ," PG,SG",588,2013,2605,2016-11-04
James Ennis III,MEM ," SG,SF",712,1866,2579,2016-11-04
